id,cebuano,tagalog
b.gen.1.1,Sa sinugdan gibuhat sa Dios ang mga langit ug ang yuta.,Nang pasimula ay nilikha ng Dios ang langit at ang lupa.
b.gen.1.2,Ug ang yuta awa-aw ug walay sulod; ug ang kangitngit diha sa ibabaw sa nawong sa kahiladman; ug ang Espiritu sa Dios naglihok sa ibabaw sa nawong sa mga tubig.,At ang lupa ay walang anyo at walang laman; at ang kadiliman ay sumasa ibabaw ng kalaliman; at ang Espiritu ng Dios ay sumasa ibabaw ng tubig.
b.gen.1.3,Ug miingon ang Dios: Mahimo ang kahayag: ug dina ang kahayag.,At sinabi ng Dios Magkaroon ng liwanag; at nagkaroon ng liwanag.
b.gen.1.4,Ug nakita sa Dios ang kahayag nga kini maayo; ug gilain sa Dios ang kahayag gikan sa kangitngit.,"At nakita ng Dios ang liwanag na mabuti, at inihiwalay ng Dios ang liwanag sa kadiliman."
b.gen.1.5,"Ug gihinganlan sa Dios ang kahayag nga Adlaw, ug ang kangitngit gihinganlan niya nga Gabii: ug dihay kahaponon ug dihay kabuntagon, usa ka adlaw.","At tinawag ng Dios ang liwanag na Araw, at tinawag niya ang kadiliman na Gabi. At nagkahapon at nagkaumaga ang unang araw."
b.gen.1.6,"Ug miingon ang Dios: Mahimo ang usa ka hawan sa taliwala sa mga tubig, ug pagabahinon niini ang mga tubig gikan sa mga tubig.","At sinabi ng Dios, Magkaroon ng isang kalawakan sa gitna ng tubig, at mahiwalay ang tubig sa kapuwa tubig."
b.gen.1.7,Ug gibuhat sa Dios ang hawan ug gilain ang mga tubig nga diha sa ilalum sa hawan gikan sa mga tubig nga diha sa ibabaw sa hawan; ug nahimo kini.,"At ginawa ng Dios ang kalawakan, at inihiwalay ang tubig na nasa ilalim ng kalawakan, sa tubig na nasa itaas ng kalawakan: at nagkagayon."
b.gen.1.8,"Ug gihinganlan sa Dios ang hawan nga Langit. Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikaduha.",At tinawag ng Dios ang kalawakan na Langit. At nagkahapon at nagkaumaga ang ikalawang araw.
b.gen.1.9,Ug miingon ang Dios: Matingub ang mga tubig nga anaa sa ilalum sa mga langit ngadto sa usa ka dapit ug tumungha ang yuta nga mamala: ug nahimo kini.,"At sinabi ng Dios, Mapisan ang tubig na nasa silong ng langit sa isang dako, at lumitaw ang katuyuan, at nagkagayon."
b.gen.1.10,Ug ang mamala nga dapit gihinganlan sa Dios nga Yuta; ug ang katilingban sa mga tubig iyang gihinganlan nga mga Dagat: ug nakita sa Dios nga kini maayo.,"At tinawag ng Dios ang katuyuan na Lupa, at ang kapisanan ng tubig ay tinawag niyang mga Dagat: at nakita ng Dios na mabuti."
b.gen.1.11,"Ug miingon ang Dios: Magpaturok ang yuta ug balili, talamnon nga magahatag ug binhi; ug himunga nga mga kahoy nga magahatag ug bunga ingon sa ilang matang diin anaa kaniya ang iyang binhi sa ibabaw sa yuta: ug nahimo kini.","At sinabi ng Dios, Sibulan ang lupa ng damo, pananim na nagkakabinhi, at punong kahoy na namumunga ayon sa kaniyang pagkakahoy, na taglay ang kaniyang binhi sa ibabaw ng lupa, at nagkagayon."
b.gen.1.12,"Ug ang yuta nagpaturok ug balili, talamnon nga nagahatag ug binhi, ingon sa ilang matang; ug mga kahoy nga nagahatag ug bunga, nga maoy binhi niini, ingon sa ilang matang, ug nakita sa Dios nga kini maayo.","At ang lupa ay sinibulan ng damo, pananim na nagkakabinhi, ayon sa kaniyang pagkapananim, at ng punong kahoy na namumunga, na taglay ang kaniyang binhi, ayon sa kaniyang pagkakahoy, at nakita ng Dios na mabuti."
b.gen.1.13,"Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikatolo.",At nagkahapon at nagkaumaga ang ikatlong araw.
b.gen.1.14,"Ug miingon ang Dios: Mahimo ang mga kahayag sa hawan sa langit aron sa pagbulag sa adlaw gikan sa gabii; ug himoa sila nga alang sa mga ilhanan, ug alang sa mga panahon, ug alang sa mga adlaw ug sa mga katuigan;","At sinabi ng Dios, Magkaroon ng mga tanglaw sa kalawakan ng langit upang maghiwalay ng araw sa gabi; at maging pinakatanda, at pinakabahagi ng panahon, ng mga araw at ng mga taon:"
b.gen.1.15,Ug himoa sila nga mga kahayag sa hawan sa langit aron sa paghatag ug kahayag sa ibabaw sa yuta: ug nahimo kini.,"At maging pinakatanglaw sa kalawakan ng langit, upang tumanglaw sa ibabaw ng lupa: at nagkagayon."
b.gen.1.16,Ug gibuhat sa Dios ang duruha ka dagkung mga kahayag: ang labing dakung kahayag sa paghari sa adlaw ug ang labing diyutay nga kahayag sa paghari sa gabii; gibuhat usab niya ang mga bitoon.,"At nilikha ng Dios ang dalawang malaking tanglaw; ang malaking tanglaw ay upang magpuno sa araw, at ang maliit na tanglaw ay upang magpuno sa gabi: nilikha rin niya ang mga bituin."
b.gen.1.17,"Ug gibutang sila sa Dios sa hawan sa langit, aron magaiwag sa ibabaw sa yuta,","At mga inilagay ng Dios sa kalawakan ng langit, upang tumanglaw sa ibabaw ng lupa,"
b.gen.1.18,"Ug aron sa paghari sa adlaw ug sa gabii, ug aron sa pagbulag sa kahayag gikan sa kangitngit: ug nakita sa Dios nga kini maayo.","At upang magpuno sa araw at sa gabi, at upang maghiwalay ng liwanag sa kadiliman: at nakita ng Dios na mabuti."
b.gen.1.19,"Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikaupat.",At nagkahapon at nagkaumaga ang ikaapat na araw.
b.gen.1.20,"Ug miingon ang Dios: Dumagsang sa mga tubig ang duot sa mga binuhat nga buhi, ug manglupad ang mga langgam sa ibabaw sa yuta diha sa hawan sa langit.","At sinabi ng Dios, Bukalan ng sagana ang tubig ng mga gumagalaw na kinapal na may buhay, at magsilipad ang mga ibon sa itaas ng lupa sa luwal na kalawakan ng himpapawid."
b.gen.1.21,"Ug gibuhat sa Dios ang dagkung mga mananap, ug ang tanang mga binuhat nga buhi nga nagalihok nga mitungha sa mga tubig, ingon sa ilang matang ug ang tagsatagsa ka langgam nga pak-an, ingon sa iyang matang: ug nakita sa Dios nga kini maayo.","At nilikha ng Dios ang malalaking hayop sa dagat, at ang bawa't may buhay na kinapal na gumagalaw, na ibinukal na sagana ng tubig, ayon sa kanikaniyang uri at ang lahat na may pakpak na ibon, ayon sa kanikaniyang uri: at nakita ng Dios na mabuti."
b.gen.1.22,"Ug gipanalanginan sila sa Dios, nga nagaingon: Sumanay ug dumaghan kamo, ug pun-on ninyo ang mga tubig sa mga dagat, ug padaghanon ang mga langgam sa yuta.","At mga binasbasan ng Dios, na sinabi, Kayo'y magpalaanakin, at magpakarami, at inyong punuin ang tubig sa mga dagat, at magpakarami ang mga ibon sa lupa."
b.gen.1.23,"Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikalima.",At nagkahapon at nagkaumaga ang ikalimang araw.
b.gen.1.24,"Ug miingon ang Dios: Magpatubo ang yuta ug mga binuhat nga buhi ingon sa ilang matang, mga kahayopan, ug mga butang nga nakagamang sa yuta, ug mga mananap sa yuta ingon sa ilang matang: ug nahimo kini.","At sinabi ng Dios, Bukalan ang lupa ng mga may buhay na kinapal, ayon sa kanikaniyang uri ng hayop at ng mga kinapal na umuusad, at ng mga ganid sa lupa, ayon sa kanikaniyang uri: at nagkagayon."
b.gen.1.25,"Ug gibuhat sa Dios ang mga mananap sa yuta ingon sa ilang matang, ug ang kahayopan ingon sa ilang matang, ug ngatanan nga mananap nga nagakamang sa ibabaw sa yuta ingon sa ilang matang: ug nakita sa Dios nga kini maayo.","At nilikha ng Dios ang ganid sa lupa ayon sa kaniyang uri, at ang hayop ayon sa kaniyang uri, at ang bawa't umuusad sa ibabaw ng lupa ayon sa kanikaniyang uri: at nakita ng Dios na mabuti."
b.gen.1.26,"Ug miingon ang Dios: Buhaton nato ang tawo sumala sa atong dagway, ingon sa kasama nato; ug magabuot sila sa mga isda sa dagat, ug sa mga langgam sa kalangitan, ug sa mga kahayopan, ug sa tibook nga yuta, ug sa tanan nga nagakamang sa ibabaw sa yuta.","At sinabi ng Dios, Lalangin natin ang tao sa ating larawan, ayon sa ating wangis: at magkaroon sila ng kapangyarihan sa mga isda sa dagat, at sa mga ibon sa himpapawid, at sa mga hayop, at sa buong lupa, at sa bawa't umuusad, na nagsisiusad sa ibabaw ng lupa."
b.gen.1.27,"Ug gibuhat sa Dios ang tawo sa iyang kaugalingong dagway, sa dagway sa Dios gibuhat niya sila, lalake ug babaye iyang gibuhat sila.","At nilalang ng Dios ang tao ayon sa kaniyang sariling larawan, ayon sa larawan ng Dios siya nilalang; nilalang niya sila na lalake at babae."
b.gen.1.28,"Ug gipanalanginan sila sa Dios, ug miingon ang Dios kanila: Sumanay ug dumaghan kamo, ug pun-on ninyo ang yuta, ug magagahum kamo niini, ug magbaton kamo sa pagbulot-an sa ibabaw sa mga isda sa dagat, ug sa mga langgam sa kalangitan, ug ibabaw sa tanan nga binuhat nga buhi nga nagalihok sa ibabaw sa yuta.","At sila'y binasbasan ng Dios, at sa kanila'y sinabi ng Dios, Kayo'y magpalaanakin, at magpakarami, at kalatan ninyo ang lupa, at inyong supilin; at magkaroon kayo ng kapangyarihan sa mga isda sa dagat, at sa mga ibon sa himpapawid, at sa bawa't hayop na gumagalaw sa ibabaw ng lupa."
b.gen.1.29,"Ug miingon ang Dios: Tan-awa, gihatagan ko kamo sa tanan nga balili nga nagahatag ug binhi, nga anaa sa ibabaw sa nawong sa tibook nga yuta, ug sa tanan nga kahoy nga may bunga sa kahoy nga nagahatag ug binhi, aron alang kaninyo kini mahimong kalan-on;","At sinabi ng Dios, Narito, ibinigay ko sa inyo ang bawa't pananim na nagkakabinhi, na nasa ibabaw ng balat ng lupa, at ang bawa't punong kahoy na may bunga ng punong kahoy na nagkakabinhi; sa inyo'y magiging pagkain:"
b.gen.1.30,"Ug sa tanan nga mananap sa yuta, ug sa tanang langgam sa kalangitan, ug sa tanang butang nga nagakamang sa ibabaw sa yuta, nga adunay kinabuhi, gihatag ko ang tanan nga balili nga lunhaw, aron ilang kan-on: ug nahimo kini.","At sa bawa't hayop sa lupa, at sa bawa't ibon sa himpapawid; at sa bawa't nagsisiusad sa ibabaw ng lupa na may buhay ay ibinigay ko ang lahat na pananim na sariwa na pinakapagkain; at nagkagayon."
b.gen.1.31,"Ug nakita sa Dios ang tanang butang nga iyang gibuhat, ug tan-awa, kini maayo kaayo. Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikaunom.","At nakita ng Dios ang lahat ng kaniyang nilikha, at, narito, napakabuti. At nagkahapon at nagkaumaga ang ikaanim na araw."
b.gen.2.1,Ug nahuman ang mga langit ug ang yuta ug ang tibook nga panon kanila.,"At nayari ang langit at ang lupa, at ang lahat na natatanaw sa mga iyon."
b.gen.2.2,Ug sa adlaw nga ikapito natapus sa Dios ang buhat nga iyang gihimo; ug mipahulay siya sa adlaw nga ikapito gikan sa tanan niyang mga buhat nga iyang nahimo.,At nang ikapitong araw ay nayari ng Dios ang kaniyang gawang ginawa; at nagpahinga ng ikapitong araw sa madlang gawa niyang ginawa.
